name,movie_title,number_of_lines,age_bracket,profession,religion,country_of_origin,additional_info,quote,annotated,speaker_id,movie_id,gender,description,source
walter,a bucket of blood,156,Adult,Cafe Busboy,Unknown,USA,Played by Dick Miller,It's bad for the clay! You'll get used to it!,True,u4295,m286,A man,"Walter is a local busboy who works as a waiter at the Yellow Door Cafe in Venice, California which is owned by Leonard De Santis. He is deeply impressed by Maxwell H. Brock's spontaneous poetry recital. Despite the poet's open disdain for his simplistic, gullible nature, Walter clings to Maxwell's words and admires his associates. lice agrees and goes to Walter's apartment, where he strangles her to death with a scarf and then promptly converts her into a ""sculpture"".",https://the-dead-meat.fandom.com/wiki/Walter_Paisley_(A_Bucket_of_Blood)
grady,wonder boys,425,Adult,English Professor and Novelist,Unknown,USA,Played by Michael Douglas ,It's been a long time since someone wrote a really good book in jail.,True,u3497,m230,A man,Professor Grady Tripp is a novelist who teaches creative writing at a university but has been unable to finish his second novel. ,https://en.wikipedia.org/wiki/Wonder_Boys_(film)
marty,blood simple.,62,Adult,Bar Owner,Unknown,USA,,"It's been taken care of. And the less you know about it, the better.",True,u4103,m274,A man,"Julian Marty is Ray's boss and he is in a bad marriage with Abby. Marty mocks Ray, predicting that Abby will betray him the way she did Marty. Marty attempts to kidnap Abby from Ray's home, but she beats him up. Humiliated, he offers Visser $10,000 to kill the couple. Marty is murdered by Visser. ",https://en.wikipedia.org/wiki/Blood_Simple
dr. evil,austin powers: international man of mystery,59,Adult,Head of Criminal Organisation,Unknown,UK, ,"It's Dr. Evil, I didn't spend six years in Evil Medical School to be called ""mister,"" thank you very much.",True,u367,m22,A man,"After a near defeat in 1967 at the hands of his nemesis, Austin Powers, Dr. Evil retreated into a space pod that cryogenically froze both himself and his beloved cat, Mr. Bigglesworth. Austin Powers agreed to also be cryogenically frozen in order to be reanimated at the time when Dr. Evil returned. Thirty years later, the Big Boy rocket broke orbit and returned to Earth, travelling to his underground lair in Nevada. However, due to a complication in the unfreezing process, his cat, Mr. Bigglesworth, lost all his fur, and Dr. Evil burns Mustafa for his mistake. He then began to plot evil, much to the chagrin of his associate, Number Two, who had spent the past thirty years turning Dr. Evil's front company, Virtucon, into a multi-billion-dollar corporation. Showing how disconnected he is after missing thirty years of history, Dr. Evil proposes plans to make it look like Prince Charles had an affair and therefore would have to divorce, and to punch a hole in the O-Zone layer. However, Number Two informs him both those events have already happened, and Dr. Evil comes up with a plan to hijack a warhead from a breakaway Russian republic and hold the world hostage for one million dollars (corrected to one hundred billion dollars at Number Two's suggestion.) It is also during this time that Dr. Evil is introduced to his ""test tube baby"" son, Scott Evil. Despite Dr. Evil's best efforts, Scott wants nothing to do with him, and it would take a long time for them to develop any kind of meaningful relationship. Having successfully hijacked the warhead, he proceeds to go through with his plan of launching the warhead, via a subterranean drill, to the Earth's core, causing a detonation that would cause every volcano on Earth to erupt simultaneously. Unfortunately, his arch-nemesis, Austin Powers, having also frozen himself thirty years ago, returns. Dr. Evil successfully captures him, but makes the mistake of leaving him in an easily escapable situation. Austin manages to escape and foils Dr. Evil's plan, but Dr. Evil escapes into space once again.",https://villains.fandom.com/wiki/Dr._Evil_(Austin_Powers)
lee,hannah and her sisters,152,Adult,Unemployed,Unknown,USA,,"It's funny, you know, it's a funny feeling to know you're being hung naked in a stranger's living home. But you can't tell it's me, although - you're turning all red. Elliot.",True,u5749,m380,A woman,"Lee has lived for five years with a reclusive artist, Frederick, who is much older. She finds her relationship with Frederick no longer intellectually or sexually stimulating, in spite of (or maybe because of) Frederick's professed interest in continuing to teach her. ",https://en.wikipedia.org/wiki/Hannah_and_Her_Sisters
gary,antitrust,60,Adult,CEO of software corporation 'NURV,Unknown,USA, ,"It's just a matter of time before someone borrows your technology, improves it and makes a billion dollars on it.",True,u349,m21,A man,"Gary Winston recruits Stanford graduate Milo Hoffman to his Software Company NURV. Milo is offered an attractive programming position with a large paycheck, an almost-unrestrained working environment, and extensive creative control over his work. Despite development of the flagship product (Synapse, a worldwide media distribution network) being well on schedule, Hoffman soon becomes suspicious of the excellent source code that Winston personally provides to him, seemingly when needed most, while refusing to divulge the code's origin. After programmer and friend of Hoffman, Teddy Chin, is murdered, Hoffman discovers that NURV is stealing the code they need from programmers around the world—including Chin—and then killing them. NURV not only employs an extensive surveillance system to observe and steal code, the company has infiltrated the Justice Department and most mainstream media. as Winston prepares to kill Hoffman, a backup plan is put into motion. Off-screen, Hoffman had previously confronted and convinced Poulson to turn against NURV; she, the fourth member of Skullbocks, and NURV's incorruptible security contractors usurp one of NURV's own work centers—""Building 21""—and transmit incriminating evidence with the Synapse code. Calighan, Winston, and his entourage are arrested for their crimes. ",https://en.wikipedia.org/wiki/Antitrust_(film)
duff,nothing but a man,270,Adult,"Unemployed, Railroad Worker, Garage Worker",Christian/Questioning,USA,,"It's just that, seems to me us colored folks do a whole lot of church-going, it's the white folks that need it real bad.",True,u6822,m455,A man,"Duff Anderson shows himself willing to resist and challenge the social conventions that oppress black people, rather than just accepting the status quo in order to get along with white people, as Josie's father has done. Initially, Duff is just looking for a sexual relationship and tells Josie he doesn't want to get marriedl however, he realises that he values marriage. At work, unlike his peers, Duff refuses to pretend to be friendly to white people who treat him obnoxiously or patronize him. Duff tries to encourage his black co-workers at the mill to stick together and stand up for their rights. However, he is seen as a union organizer and troublemaker. Duff hates his preacher father-in-law, whom he sees as having sold out to the white people in return for social status and economic gain. At his job at the gas station, white customers find Duff too proud for a black ""boy"" and threaten to cause trouble if the boss keeps him on, and he loses that job as well. Duff, under emotional pressure and in a rage, shoves his pregnant wife to the floor when she tries to comfort him. He is later remorseful and apologetic. ",https://en.wikipedia.org/wiki/Nothing_but_a_Man
juliet,shallow grave,155,Adult,Doctor,Unknown,Scotland ,Directed by Danny Boyle.,"It's not a story, Alex. It's a corpse.",True,u7580,m512,A woman,"Juliet Miller is a spirited and mysterious doctor, who is constantly being courted by different men, many of whom repeatedly call the flat trying to speak to her. Despite this, she also appears to be in a relationship with David as well as openly flirting with Alex. She kills both David and Alex.",https://en.wikipedia.org/wiki/Shallow_Grave_(1994_film)
lindsey,the abyss,103,Adult,"Oil Rig Chief Engineer, Designer",Unknown,USA,,"It's not easy being a cast-iron bitch. It takes discipline, and years of training.",True,u3525,m232,A woman,"The platform's designer, Dr. Lindsey Brigman, insists on going along with the SEAL team, even though her estranged husband Virgil ""Bud"" Brigman is the current foreman. ",https://en.wikipedia.org/wiki/The_Abyss
booth,route 9,194,Adult,Deputy Sheriff,Unknown,USA,,"It's not that I don't trust you, I just know how tough things have been for you recently. ",True,u7324,m495,A man,"Booth Parker is a small town cop/deputy sheriff. He works with Earl. They stumble onto a crime scene where a drug buy had gone bad and everyone was shot dead, they discover a suitcase full of cash - $1.5 million. They decide to take the cash and cover-up the theft by burning the car the cash was in. Booth is having an affair with the battered wife of Sheriff Hogan, and the money will offer the couple a chance to flee together. Booth is therefore spurred on by Earl Whitney to complete the plan. However, things take a turn for the worse when they discover that one of the men is still alive and he has overheard their plans. They then have to suffocate him to stop him from revealing their plans. Things get even worse though when the DEA shows up and tell them that the man was one of their agents and he was wired. And then things take another bad turn when the coroner, who first received the body, discovers the tape first, switches it and wants a 50% cut. ",https://en.wikipedia.org/wiki/List_of_solved_missing_person_cases:_pre-2000
rose,titanic,118,Teen,Aristocrat,Unknown,USA,,"Jack, I want you to draw me like one of your French girls. Wearing this...",True,u8462,m574,A woman,"Rose had convinced herself that committing suicide by jumping off of the ship was the only way to save herself from her torturous upper-class life. She is also very passionate, as shown in her relationship onboard the ship with Jack.",https://hero.fandom.com/wiki/Rose_DeWitt_Bukater
jezzie,jacob's ladder,134,Adult,Unknown,Unknown,USA,Played by Elizabeth Peña ,"Jake, New York is filled with creatures.",True,u1614,m106,A woman,"Jezzie, or Jezebel, is Jacob's girlfriend. Jacob experiences a dangerous fever, which Jezzie attempts to bring down with a painful ice bath. ",https://en.wikipedia.org/wiki/Jacob%27s_Ladder_(1990_film)
miller,saving private ryan,196,Adult,"Army Captain, Former Teacher",Unknown,USA,,"James, earn this... earn it.",True,u7423,m502,A man,"Miller, being a captain, is an assertive but well liked leader in the Army. Due to his history as a school teacher and teaching ""a thousand kids"" like Private Ryan, he knows how to handle them so the men look up to him. ",https://savingprivateryan.fandom.com/wiki/John_H._Miller
casper,kids,110,Teen,High School Student,Unknown,USA,,"Jesus Christ, what happened?",True,u1679,m111,A man,"Casper certainly is as sexually active as Telly is, but he seems to be the more substance-abusing of the two, rarely being seen without either a ""40"" of malt liquor beer, a joint or a cigarette.",https://villains.fandom.com/wiki/Casper_(Kids)
sera,leaving las vegas,106,Adult,Prostitute,Unknown,USA,,Just because I have sex for money doesn't give him cause to start picking up women and leaving me looking silly.,True,u1758,m116,A woman,"Sera is a prostitute working for abusive Latvian pimp Yuri Butsov. Sera begs Ben to see a doctor, which he refuses. Later, Sera explains to her therapist that she accepted Ben for who he was and loved him.",https://en.wikipedia.org/wiki/Leaving_Las_Vegas
jane,broadcast news,229,Adult,Television Producer,Unknown,USA,"SEVEN YEARS LATER: the three meet again. Jane has a new boyfriend. Jane reveals she plans to take a managing editor role for the network in New York, working with Tom again. Jane declines a dinner invitation with Tom and his fiancée, while she and Aaron sit on a bench and catch up on their respective lives.","Just what do you want from me anyway, permission to be a fake? Stop whining.",True,u4278,m285,A woman,"Jane Craig is a talented but intense news producer whose life revolves around her work. She is passionate about reporting, and abhors the trend towards soft news in news broadcasts. Her best friend and collaborator is Aaron Altman.",https://en.wikipedia.org/wiki/Broadcast_News_(film)
danny,the believer,276,Adult,Nazi,Jewish,USA,Played by Ryan Gosling. Based on the factual story of a K.K.K. member in the 1960s who was revealed to be Jewish by a New York Times reporter.,Kill your enemy.,True,u8240,m560,A man,"Danny, or Daniel, Balint is a former Jewish yeshiva student, brilliant but troubled, who is now a fanatically violent neo-Nazi in New York in his early twenties. As a child, he often challenged his teachers with unorthodox interpretations of scripture. Daniel advocates killing Jews. When Daniel takes the pulpit the next day, he is shocked to see Carla in the congregation. He again imagines himself in the story the Holocaust survivor told him, this time as both the Nazi and the Jew. With minutes to go, Daniel stops and tells everyone to get out because there is a bomb, but refuses to leave himself.",https://en.wikipedia.org/wiki/The_Believer_(2001_film)
m.j.,copycat,169,Adult,Detective,Unknown,USA,,"Kind of defeats the purpose of my miracle bra, but who's looking?",True,u4631,m306,A woman,"Inspector M.J. Monahan is a fairly complex character, who believes in God. M.J. is ridden with survivor's guilt.",https://hero.fandom.com/wiki/M.J._Monahan
anna,the third man,121,Adult,Actress,Unknown,Czechoslovakia,,"l don't know anything anymore, except l want to be dead too. Some more tea?",True,u8211,m558,A woman,"Actress Anna Schmidt is Lime's girlfriend. As Martins and Anna query Lime's death, they realise that accounts differ as to whether two or three men carried away the body. Martins treats Anna suspiciously. Constantly avoiding Martins' interrogations, at the end, when Martins is waiting for Anna, she totally ignores him and walks right past without even glancing in his direction.",https://en.wikipedia.org/wiki/The_Third_Man
annie,annie hall,342,Adult,Photographer and Nightclub Singer,Unknown,USA,Romantic interest and then ex of Alvy Singer,La-dee-da.,True,u3686,m243,A woman,"Annie Hall ended her relationship with Alvy a year ago. Thinking back to old times, Annie shows no interest in sex with Alvy. Annie and Alvy have fun together. After Annie's singing audition for a night club followed by which Annie and Alvy have sex, Annie relaxes with a joint. Annie admits she loves Alvy but cannot cope with Alvy's tenseness and neurosis. ",https://en.wikipedia.org/wiki/Annie_Hall
jean,x-men,33,Adult,Activist for Mutant Rights,Unknown,USA,Played by Famke Janssen,"Ladies and gentlemen, we are now seeing the beginnings of another stage of human evolution. These mutations manifest at puberty, and are often triggered by periods of heightened emotional stress.",True,u9004,m614,,"Jean is a member of a subspecies of humans known as mutants, who are born with superhuman abilities. She was born with psionic powers.",https://en.wikipedia.org/wiki/Jean_Grey
johnny,starship troopers,192,Young Adult,Soldier,Unknown,Argentina,,"Let me tell you something: I’m from Buenos Aires, and I say kill them all!",True,u7837,m530,A man,"General John D. ""Johnny"" Rico is a general in the Mobile Infantry of the United Citizen Federation. During his life, John Rico has become one of the most representative icons of the United Citizen Federation, inspiring courage and valor in every battle as a freedom fighter, gallant soldier, and brave man.",https://starshiptroopers.fandom.com/wiki/John_Rico_(film)
nettles,ticker,132,Adult,Detective,Unknown,USA,,Let the girl go!,True,u8428,m572,,"Narcotics cops Ray Nettles and partner Art ""Fuzzy"" Rice arrest a suspect on drug charges. Ray lets a woman go who pleads for her and her child; Fuzzy tells Ray to get some help for his ""demons"" - he has never mourned the car bombing death of his wife and son. Ray is forced to disarm a bomb with advice over the radio from Glass, who coaches him to relax and forget his grief, but the device is a decoy. ",https://en.wikipedia.org/wiki/Ticker_(2001_film)
seymour,ghost world,171,Adult,Corporate Worker,Unknown,USA,Played by Steve Buscemi,Let the machine get it. I have no desire to talk to anyone who might be calling me.,True,u1108,m72,A man,"Middle-aged man who Enid takes an interest in. Works in corporate for Cook's Chicken (previously known as Coon Chicken Inn). The girls see a personal ad in which a lonely, middle-aged man named Seymour asks a woman he met recently to contact him. Enid makes a prank phone call to Seymour, pretending to be the woman and inviting him to meet her at a diner. The two girls and their friend, Josh, secretly watch Seymour at the diner and make fun of him. Enid soon begins to feel sympathy for Seymour, and they follow him to his apartment building. Later they find him selling vintage records in a garage sale. Enid buys an old blues album from him, and they become friends. She decides to try to find women for him to date. Enid has meanwhile been attending her remedial art class, and she persuades Seymour to lend her an old poster depicting a grotesquely caricatured black man, which was once used as a promotional tool by Coon Chicken Inn, the fried chicken franchise now known as Cook's Chicken, where Seymour works in corporate. Enid presents the poster in class as a social comment about racism, and Roberta is so impressed with the concept that she offers Enid a scholarship to an art college. Seymour receives a phone call from Dana, the intended recipient of his personal ad. Enid encourages him to pursue a relationship with Dana, but she becomes unexpectedly jealous when he does so. When Enid's poster is displayed in an art show, school officials find it so offensive they force Roberta to give her a failing grade and revoke the scholarship. Enid turns to Seymour for solace, resulting in a drunken one-night stand. Seymour breaks up with Dana, and is called to account at work when the Coon Chicken poster is publicized in a local newspaper. He unsuccessfully tries to contact Enid, only for Rebecca to tell him about Enid's prank phone call, describing the way they mocked him at the diner. Seymour is upset and goes to the convenience store where Josh works. Another customer ends up in a violent confrontation with Seymour, resulting in his being injured and hospitalized. Enid visits him in the hospital to apologize. During the ending of the film while Seymour discusses the summer's events with his therapist, Enid returns to the bus stop and boards the out-of-service bus when it arrives.",https://en.wikipedia.org/wiki/Ghost_World_(film)
jim,wild wild west,136,Adult,U.S. Marshal,Unknown,USA,Also known as James West. Played by Will Smith.,"Let's break it down into two words. First, red. Red is like, fire, passion. Neck is - I can't think of anything for neck right now.",True,u8923,m607,A man,,
bud,wall street,236,Adult,Stockbroker,Unknown,USA, ,Life all comes down to a few moments. This is one of them.,True,u8830,m599,A man,"Bud is the protagonist. He starts off as a junior stockbroker and then becomes wealthy, enjoying Gekko's promised perks, including a penthouse on Manhattan's Upper East Side and a trophy girlfriend, interior decorator Darien. ",https://hero.fandom.com/wiki/Bud_Fox
ed,the man who wasn't there,196,Adult,Barber,Unknown,USA,"The film is written, directed and produced by the Coen brothers. ","Life has dealt me some bum cards. Or maybe I just haven't played 'em right, I don't know.",True,u8150,m553,A man,"Ed Crane is married to Doris and works in a barbershop that is owned by his brother-in-law. A customer tells Ed that he is a businessman looking for investors to invest $10,000 in a new technology called dry cleaning, so Ed decides to collect money by anonymously blackmailing Doris's boss.",https://en.wikipedia.org/wiki/The_Man_Who_Wasn%27t_There_(2001_film)
oz,american pie,107,Teen,High School Student,Unknown,USA,,Like warm apple pie.,True,u3648,m240,A man,,
tyler,fight club,196,Adult,Soap Salesman,Unknown,USA, ,"Listen up, maggots. You are not special. You are not a beautiful or unique snowflake. You're the same decaying organic matter as everything else.",True,u5269,m348,A man,"Tyler worked several night jobs. Partly to fund himself while engaging in general subversion, but also to set up situations enabling him to blackmail his employers later. Throughout the story, Tyler attempts to forcefully guide the Narrator to enlightenment by encouraging him to hit bottom. He wanted to gradually destroy the Narrator's empty, societally-programmed self. If he had succeeded, there would have no longer been any distinction between the Narrator and Tyler. By the end of the story, Tyler realized that he failed. The Narrator remained strongly opposed to Tyler's goals, and viewed Tyler's attempt to free him(self) as a hostile takeover of his mind. He never reached the full understanding that Tyler Durden was his real personality. The personality he percieved as ""himself"" was actually the fake, having been programmed into his head by society.",https://fightclub.fandom.com/wiki/Tyler_Durden
ed,ed wood,368,Adult,Movie Director,Unknown,USA,,"Listen, hit the bars, work some parties, and get me transvestites. I need transvestites. All right. Bye.",True,u4941,m329,A man,,
burns,his girl friday,281,Adult,Newspaper Editor,Unknown,USA,,"Listen. I made a great reporter out of you, Hildy. We're a team. That's what we are. You need me and I need you, and the paper needs both of us.",True,u1357,m90,A man,"Newspaper editor named Walter Burns is about to lose his ace reporter and ex-wife Hildy Johnson, newly engaged to another man. Burns suggests they cover one more story together, getting themselves entangled in the case of murderer Earl Williams as Burns desperately tries to win back his wife.",https://en.wikipedia.org/wiki/His_Girl_Friday
kate,the family man,111,Young Adult,Non-Profit Lawyer,Unknown,USA,,Look at me like you haven't seen me every day for the last 13 years.,True,u5201,m344,A woman,"In their alternate life, whilst she is impressed by the potential salary and other complimentary luxuries that her husband Jack provides, Kate argues that they are very happy where they are and that they should be thankful for the life they have. In real life, like Jack, Kate also focused on her career and became a wealthy lawyer. Furthermore, she only called him to give him back some of his old possessions before she moves to Paris. Nonetheless, Kate also realises what is most important - family and love. ",https://christmas-specials.fandom.com/wiki/The_Family_Man
david,an american werewolf in london,210,Adult,American College Student,Unknown,USA, ,"Look at me, here I sit in a porno theatre in Piccadilly Circus talking to a corpse.",True,u274,m17,A man,"David Kessler was an American college student and protagonist.. After walking through the moors of Yorkshire, England with his friend Jack Goodman, during the full moon they are stopped by a supernaturally large animal. The animal attacks both and kills Jack. The animal is then shot and killed by the pubgoers of the Slaughtered Lamb. The beast changes into the dying body of a naked man. David survives the mauling and is taken to a hospital in London.

When David wakes up three weeks later, he does not remember what happened and is told of his friend's death. Upon his release from the hospital, David moves in with Alex Price, the pretty young nurse who grew infatuated with him in the hospital. He stays in Alex's London apartment, where they later make love for the first time. Jack (in an advanced stage of decay) suddenly appears to David again and tells him that he will turn into a werewolf the next day. Jack advises David to take his own life; otherwise he is doomed to kill innocent people who will then become the living dead.

When the full moon rises, as Jack had warned, David, who is alone in the apartment, begins to feel excruciating pain before stripping naked upon ""burning up"" and turning into a werewolf. He prowls the streets and the London Underground and brutally slaughters six Londoners. When he wakes in the morning, he is naked on the floor of the wolf cage at London Zoo with no memory of his time as a Werewolf and is unharmed by the resident Wolves.

Later that day, David realizes that Jack was right about everything and that he is responsible for the murders the night before. After failing to get himself arrested and running from Alex, David calls his family in New York to basically say good-bye, though he only speaks to his little sister, telling her to tell the rest of their family that he loves them. Walking out of the phone booth after failing to slit his wrists with his pocket knife, David spots Jack (in a more advanced stage of decay) outside an adult cinema in Piccadilly Circus. Inside, Jack is accompanied by David's victims from the previous night. They all insist that he must commit suicide before turning into a werewolf again. While talking with them, night falls and, consequently, David turns into a Werewolf again then kills and devours two theater employees.
After busting out of the cinema (biting off Inspector Villiers' head in the process), chaos ensues in the streets, causing multiple deaths and a large pileup of cars. David is soon ultimately cornered in an alleyway by the police. Alex arrives to in an attempt to calm him down by telling him that she loves him. Though he is temporarily softened, he's quickly overcame by his killing instincts is shot and killed as he lunges forward at Alex. David then returns to his human form in front of a grieving Alex as he lies dead. Upon meeting his demise, Jack, along with all of David's murdered victims passed over into the afterlife.
",https://wolfmen.fandom.com/wiki/David_Kessler
craig,next friday,158,Adult,Unemployed,Unknown,USA,Played by Ice Cube,"Look, I'm your cousin an' ev'rything, but don't be hookin' me up with the little sister that's bigger than the big sister!",True,u2253,m145,A man,"Craig Jones, a slacker who relocates to Rancho Cucamonga.",https://en.wikipedia.org/wiki/Next_Friday
kelly,lake placid,190,Adult,Palaeontologist,Unknown,USA,,"Look, if you call me ""ma'am"" one more time I'll sue you, and with today's laws, it's possible.",True,u6258,m418,A woman,"Paleontologist Kelly Scott goes to the lake to investigate the incident with mythology professor and crocodile enthusiast Hector Cyr joining them. Kelly and Hank's canoe is forcefully flipped over, they discover a severed human toe and a moose head. Kelly is knocked into the lake by the crocodile's tail, but she makes it into the helicopter in time. The crocodile catches up to Kelly and attacks again, but is itself trapped in the helicopter. ",https://lionheadthemovies.fandom.com/wiki/Lake_Placid_(film)
louise,thelma & louise,264,Adult,Waitress,Unknown,USA,,"Look, you shoot off a guy's head with his pants down, believe me, Texas is not the place you wanna get caught.",True,u3261,m216,A woman,"Sharp-tongued Louise works as a waitress in a diner and is dating easygoing musician Jimmy. Louise fears that no one will believe a claim of attempted rape as Thelma was drinking, so they decide to flee to Mexico. ",https://en.wikipedia.org/wiki/Thelma_%26_Louise
chuckie,good will hunting,98,Young Adult,Construction Worker,Unknown,USA,"Played by Ben Affleck, who wrote the script with Matt Damon.","Look, you're my best friend, so don't take this the wrong way but, in 20 years if you're still livin' here, comin' over to my house, watchin' the Patriots games, workin' construction, I'll fuckin' kill ya. That's not a threat, that's a fact, I'll fuckin' kill ya.",True,u5606,m373,A man,"Chuckie is Will's friend and is sent by him as his ""chief negotiator"" to job interviews. Chuckie challenges Will over his resistance to taking any of the positions he interviews for, telling Will he owes it to his friends to make the most of the opportunities they will never have, even if it means leaving one day. Later, Chuckie goes to Will's house to pick him up, only to find that he is not there, much to his happiness. ",https://en.wikipedia.org/wiki/Good_Will_Hunting
jenny,starman,234,Adult,Housewife,Unknown,USA,,"Love is, um, it's when you care more for someone else than you do yourself.",True,u3043,m199,A woman,"Jenny Hayden is the widow of Scott Hayden. When Starman takes the form of her husband, initially hostile to and frightened of him, Jenny attempts escape. When Jenny and Starman have sex, and Starman tells Jenny she is pregnant as a gift from her late husband, Jenny explains that she is infertile and cannot have children. However, Starman assures her that she is pregnant. She keeps the baby. She wants to go to the different planet with Starman, because he is like her husband, but she has to stay on Earth. ",https://en.wikipedia.org/wiki/Starman_(film)
hooker,the sting,148,Adult,"Con-Artist, Grifter",Unknown,USA,Played by Robert Redford.,Luther said I could learn something from you. I already know how to drink.,True,u8375,m568,A man,"Johnny Hooker, a grifter in Joliet, Illinois, cons $11,000 in cash from an unsuspecting victim with the aid of his partners Luther Coleman and Joe Erie. Hooker finds Gondorff, a once-great con man now hiding from the FBI, and asks for his help in taking on Lonnegan.",https://en.wikipedia.org/wiki/The_Sting
lt. zogg,dr. strangelove or: how i learned to stop worrying and love the bomb,69,Adult,Air Force Lieutenant,Unknown,USA,James Earl Jones’ first role in a theatrical film.,"Major Kong, is it possible this is some kind of loyalty test, you know, give the go-code and, then, recall, to see who would actually go?",True,u7925,m536,A man,Lieutenant Lothar Zogg is the B-52's bombardier. ,https://en.wikipedia.org/wiki/Dr._Strangelove
jean,american psycho,50,Adult,Secretary,Unknown,USA, ,Make someone happy. Have you ever wanted to?,True,u336,m20,A woman,Jean is Bateman's Secretary that he planned on murdering with a nail gun but didn't. She later finds detailed drawings of murder and mutilation in Bateman's office journal.,https://en.wikipedia.org/wiki/American_Psycho_(film)
whale,gods and monsters,236,Adult,Retired Film Director,Unknown,England,"Played by Ian Mckellen. Film is based on a novel 'Father of Frankenstein' (1995) by Christopher bram. The story focuses on the final months of James Whale and a fictional gardener named Clayton Boone. James Whale was a real person born 22nd July 1889, died 29th May 1957 (aged 67) and was an english film/theatre director and actor, who spent the greater part of his career in Hollywood. He is best remembered for several horror films: Frankenstein (1931), The Old Dark House (1932), The Invisible Man (1933) and Bride of Frankenstein (1935), all considered classics. Whale also directed films in other genres, including the 1936 film version of the musical Show Boat.","Making movies is the most wonderful thing in the world. Working with friends - entertaining people - yes, I suppose I miss it.",True,u5572,m370,A man,"In the 1950s, James Whale, the director of Frankenstein and Bride of Frankenstein, has retired. Whale lives with his long-time housemaid, Hanna, who loyally cares for him but disapproves of his homosexuality. He has suffered a series of strokes that have left him fragile and tormented by memories: growing up as a poor outcast, his tragic World War I service, and the filming of Bride of Frankenstein. Whale slips into his past and indulges in his fantasies, reminiscing about gay pool parties and sexually teasing an embarrassed, starstruck fan. He battles depression, and at times contemplates suicide, as he realizes his life, his attractiveness, and his health are slipping away. Whale befriends his young, handsome gardener, Clayton Boone, and the two begin a sometimes uneasy friendship as Boone poses for Whale's sketches. The two men bond while discussing their lives and dealing with Whale's spells of disorientation and weakness from the strokes. Boone, impressed with Whale's fame, watches Bride of Frankenstein on television as his friends mock the movie, his friendship with Whale, and Whale's intentions. Boone assures Whale that he is straight and receives Whale's assurance that there is no sexual interest, but Boone storms out when Whale graphically discusses his sexual history. Boone later returns with the agreement that no such ""locker room"" discussions occur again. Boone is invited to escort Whale to a party hosted by George Cukor for Princess Margaret. There, a photo op has been arranged for Whale with ""his Monsters"": Boris Karloff and Elsa Lanchester from ""ancient"" movie fame. This event exacerbates Whale's depression. A sudden rainstorm becomes an excuse to leave. Back at Whale's home, Clayton needs a dry change of clothes. Whale can only find a sweater, so Clayton wears a towel wrapped around his waist. Whale decides to try to sketch Clayton one more time. After some minutes, he shows his sketches to Clayton, disclosing that he has lost his ability to draw. After Clayton drops his towel to pose nude, Whale makes him wear a World War I gas mask and then uses the opportunity to make a sexual advance on Clayton, kissing his shoulder and neck, and forcefully reaches for his genitals. An enraged Clayton fights off Whale, who confesses that this had been his plan and begs Clayton to kill him to relieve him of his suffering. Clayton refuses, puts Whale to bed, then sleeps downstairs. The next morning, Hanna is alarmed when she cannot find Whale, prompting a search by Clayton and Hanna. Clayton finds Whale floating dead in the pool as a distraught Hanna runs out, clutching a suicide note. Clayton and Hanna agree that he should disappear from the scene to avoid a scandal.",https://en.wikipedia.org/wiki/Gods_and_Monsters_(film)
stan,south park: bigger longer & uncut,82,Child,School Kid,Catholic,USA, ,"Man, that kid is fucked up!",True,u7770,m525,A man,"Stan attends South Park Elementary as part of Mr. Garrison's class. Stan's father Randy is a geologist, and his mother Sharon is a secretary at Tom's Rhinoplasty. Stan was grounded for two weeks by Sharon Marsh for going to see the R-rated film Terrance and Phillip: Asses of Fire, which caused Kenny's death when tried to imitate a stunt seen in the film. Their parents think that Canada is to blame. Kyle’s mother rages war against Terrance and Philip (and Canada) resulting in the children creating ‘La Resistance’ to save the lives of Terrance and Philip, who when killed causes Satan and Saddam Hussein to rise up and try to take over the world. Stan is also trying to impress his crush Wendy through creating  ‘La Resistance’ with Kyle and Cartman and through his quest in finding the clitoris, when he is knocked out by an explosion in the battle between Canada and the US Army he reawakens before a sentient clitoris, who tells him to be self-confident to gain Wendy's affection. Stan leads the others to Terrance and Phillip, whom the US Army have cornered. The children form a human shield as Kyle tries to reason with Sheila, faulting her for scapegoating others for his mistakes. While the soldiers begin to back down, Sheila refuses and shoots Terrance and Phillip dead, fulfilling Satan's prophecy. Saddam usurps Satan and demands that everyone bow to him. When Saddam insults Cartman, the latter's retort releases bolts of energy from his hands. Subsequently, Cartman engages in profanity-laden tirades to attack Saddam, who continues to verbally abuse Satan. Satan becomes enraged and throws Saddam back into Hell, where he is impaled on a stalagmite.",https://southpark.fandom.com/wiki/Stan_Marsh
kirk,star trek iv: the voyage home,224,Adult,Admiral,Unknown,USA,Played by William Shatner,May fortune favor the foolish.,True,u2958,m194,A man,"To save Earth from an alien probe, Admiral James T. Kirk and his fugitive crew go back in time to San Francisco in 1986 to retrieve the only beings who can communicate with it: humpback whales.",https://memory-alpha.fandom.com/wiki/Star_Trek_IV:_The_Voyage_Home
